forecast_date,year,state,seat_number,r_prob,r_pct_05,r_avg,r_pct_95
2026-04-19,2026,Florida,10,3e-4,0.2726703015,0.346245761992,0.4193595644999999
2026-04-19,2026,Florida,11,0.9727,0.5112156925,0.587258091569,0.663139033
2026-04-19,2026,Florida,12,0.9999,0.591076136,0.666905543848,0.7424808219999999
2026-04-19,2026,Florida,13,0.9071,0.484714789,0.561150283543,0.6385561825
2026-04-19,2026,Florida,14,0.0166,0.332810033,0.407096843348,0.4806411025
2026-04-19,2026,Florida,15,0.9114,0.4855184845,0.562773442108,0.6406373065000001
2026-04-19,2026,Florida,16,0.8914,0.482095708,0.555164943933,0.6288983495
2026-04-19,2026,Florida,17,0.9951,0.5423055595,0.618633380218,0.6955520924999998
2026-04-19,2026,Florida,18,0.9988,0.5610062514999999,0.638189454191,0.7147418699999999
2026-04-19,2026,Florida,19,0.996,0.545222997,0.620933316328,0.695711907
2026-04-19,2026,Florida,20,0,0.183973336,0.2570237723102,0.33058056950000003
2026-04-19,2026,Florida,21,0.9733,0.5150782815,0.590906310908,0.6693252204999998
2026-04-19,2026,Florida,22,0.0427,0.34829176700000003,0.421852364225,0.4962532224999999
2026-04-19,2026,Florida,23,0.0883,0.3678419395000001,0.440109451107,0.5132536504999998
2026-04-19,2026,Florida,24,0,0.233935788,0.30821803011,0.381378413
2026-04-19,2026,Florida,25,0.0422,0.34911321949999996,0.423162258443,0.49647093949999993
2026-04-19,2026,Florida,26,0.9999,0.5895645454999999,0.667091544275,0.7427955014999998
2026-04-19,2026,Florida,27,0.963,0.5069227304999999,0.582982982712,0.658437625
2026-04-19,2026,Florida,28,0.9961,0.54830333,0.624724370475,0.7017709554999999
2026-04-19,2026,Georgia,1,0.91,0.4872091744999999,0.561040861836,0.63424807
2026-04-19,2026,Georgia,2,0.0251,0.3380463305,0.411615682011,0.485901157
2026-04-19,2026,Georgia,3,0.9994,0.5653910525,0.641144014235,0.716515853
2026-04-19,2026,Georgia,4,0,0.1440425995,0.2173965563389,0.2908275069999998
2026-04-19,2026,Georgia,5,0,0.05698730305,0.1296366729828416,0.20243211
2026-04-19,2026,Georgia,6,0,0.15616236900000002,0.2295647119267,0.30127504749999995
2026-04-19,2026,Georgia,7,0.9941,0.5400556105000001,0.615695874932,0.6936811034999998
2026-04-19,2026,Georgia,8,0.9993,0.5732081775,0.649711775276,0.726123074
2026-04-19,2026,Georgia,9,0.9998,0.5842762085000001,0.660956143325,0.7369196880000001
2026-04-19,2026,Georgia,10,0.9648,0.5083370665,0.58212123398,0.6563122985000001
2026-04-19,2026,Georgia,11,0.9863,0.526267503,0.60096793955,0.6748583049999999
