party,margin_diff,seats,prob
dem,-0.060000000000000005,48,0.0026
dem,-0.060000000000000005,49,0.0165
dem,-0.060000000000000005,50,0.0592
dem,-0.060000000000000005,51,0.1378
dem,-0.060000000000000005,52,0.2271
dem,-0.060000000000000005,53,0.2726
dem,-0.060000000000000005,54,0.1928
dem,-0.060000000000000005,55,0.071
dem,-0.060000000000000005,56,0.0165
dem,-0.060000000000000005,57,0.0026
dem,-0.060000000000000005,58,4e-4
dem,-0.060000000000000005,59,2e-4
dem,-0.05,47,0.0012
dem,-0.05,48,0.009
dem,-0.05,49,0.0331
dem,-0.05,50,0.0861
dem,-0.05,51,0.1885
dem,-0.05,52,0.2545
dem,-0.05,53,0.2353
dem,-0.05,54,0.1384
dem,-0.05,55,0.0451
dem,-0.05,56,0.0075
dem,-0.05,57,0.0011
dem,-0.05,58,2e-4
dem,-0.04000000000000001,46,4e-4
dem,-0.04000000000000001,47,0.0025
dem,-0.04000000000000001,48,0.0154
dem,-0.04000000000000001,49,0.0577
dem,-0.04000000000000001,50,0.1387
dem,-0.04000000000000001,51,0.2334
dem,-0.04000000000000001,52,0.2583
dem,-0.04000000000000001,53,0.1879
dem,-0.04000000000000001,54,0.0807
dem,-0.04000000000000001,55,0.0207
dem,-0.04000000000000001,56,0.0042
dem,-0.04000000000000001,57,1e-4
dem,-0.03,46,6e-4
dem,-0.03,47,0.0055
dem,-0.03,48,0.0284
dem,-0.03,49,0.0914
dem,-0.03,50,0.1829
dem,-0.03,51,0.2703
dem,-0.03,52,0.2333
dem,-0.03,53,0.1299
dem,-0.03,54,0.0471
dem,-0.03,55,0.0095
dem,-0.03,56,9e-4
dem,-0.03,57,2e-4
dem,-0.020000000000000004,45,4e-4
dem,-0.020000000000000004,46,0.0026
dem,-0.020000000000000004,47,0.0118
dem,-0.020000000000000004,48,0.0547
dem,-0.020000000000000004,49,0.1439
dem,-0.020000000000000004,50,0.2336
dem,-0.020000000000000004,51,0.2517
dem,-0.020000000000000004,52,0.1903
dem,-0.020000000000000004,53,0.0822
dem,-0.020000000000000004,54,0.0241
dem,-0.020000000000000004,55,0.0042
dem,-0.020000000000000004,56,5e-4
dem,-0.010000000000000009,45,9e-4
dem,-0.010000000000000009,46,0.005
dem,-0.010000000000000009,47,0.0249
dem,-0.010000000000000009,48,0.0884
dem,-0.010000000000000009,49,0.1951
dem,-0.010000000000000009,50,0.2671
dem,-0.010000000000000009,51,0.2264
dem,-0.010000000000000009,52,0.1334
dem,-0.010000000000000009,53,0.0466
dem,-0.010000000000000009,54,0.0111
dem,-0.010000000000000009,55,0.0011
dem,0,44,2e-4
dem,0,45,0.002
dem,0,46,0.0112
dem,0,47,0.05
dem,0,48,0.1383
dem,0,49,0.2496
dem,0,50,0.2683
dem,0,51,0.1769
dem,0,52,0.0786
dem,0,53,0.0219
dem,0,54,0.0021
dem,0,55,8e-4
dem,0,56,1e-4
dem,0.009999999999999995,44,7e-4
dem,0.009999999999999995,45,0.0048
dem,0.009999999999999995,46,0.0225
dem,0.009999999999999995,47,0.0814
dem,0.009999999999999995,48,0.1943
dem,0.009999999999999995,49,0.291
dem,0.009999999999999995,50,0.2304
dem,0.009999999999999995,51,0.1221
dem,0.009999999999999995,52,0.0423
dem,0.009999999999999995,53,0.0086
dem,0.009999999999999995,54,0.0018
dem,0.009999999999999995,55,1e-4
dem,0.01999999999999999,44,0.0017
dem,0.01999999999999999,45,0.0116
dem,0.01999999999999999,46,0.0447
dem,0.01999999999999999,47,0.1367
dem,0.01999999999999999,48,0.2497
dem,0.01999999999999999,49,0.2758
dem,0.01999999999999999,50,0.1833
dem,0.01999999999999999,51,0.0755
dem,0.01999999999999999,52,0.0183
dem,0.01999999999999999,53,0.0021
dem,0.01999999999999999,54,6e-4
dem,0.03,42,1e-4
dem,0.03,43,4e-4
dem,0.03,44,0.0048
dem,0.03,45,0.0239
dem,0.03,46,0.077
dem,0.03,47,0.1983
dem,0.03,48,0.2773
dem,0.03,49,0.2501
dem,0.03,50,0.1229
dem,0.03,51,0.0383
dem,0.03,52,0.0064
dem,0.03,53,5e-4
dem,0.04000000000000001,42,1e-4
dem,0.04000000000000001,43,0.0011
dem,0.04000000000000001,44,0.0104
dem,0.04000000000000001,45,0.0465
dem,0.04000000000000001,46,0.1292
dem,0.04000000000000001,47,0.2481
dem,0.04000000000000001,48,0.2759
dem,0.04000000000000001,49,0.1982
dem,0.04000000000000001,50,0.0688
dem,0.04000000000000001,51,0.0188
dem,0.04000000000000001,52,0.0025
dem,0.04000000000000001,53,4e-4
dem,0.04999999999999999,42,1e-4
dem,0.04999999999999999,43,0.004
dem,0.04999999999999999,44,0.0221
dem,0.04999999999999999,45,0.0776
dem,0.04999999999999999,46,0.1827
dem,0.04999999999999999,47,0.2804
dem,0.04999999999999999,48,0.2509
dem,0.04999999999999999,49,0.1368
dem,0.04999999999999999,50,0.0392
dem,0.04999999999999999,51,0.0058
dem,0.04999999999999999,52,3e-4
dem,0.04999999999999999,53,1e-4
dem,0.06,41,1e-4
dem,0.06,42,0.0013
dem,0.06,43,0.0099
dem,0.06,44,0.045
dem,0.06,45,0.1257
dem,0.06,46,0.238
dem,0.06,47,0.2815
dem,0.06,48,0.1984
dem,0.06,49,0.0806
dem,0.06,50,0.0168
dem,0.06,51,0.0022
dem,0.06,52,5e-4
dem,0.07,40,1e-4
dem,0.07,41,4e-4
dem,0.07,42,0.0039
dem,0.07,43,0.0237
dem,0.07,44,0.0806
dem,0.07,45,0.1788
dem,0.07,46,0.2736
dem,0.07,47,0.2511
dem,0.07,48,0.1368
dem,0.07,49,0.0438
dem,0.07,50,0.0066
dem,0.07,51,6e-4
dem,0.07999999999999999,41,0.001
dem,0.07999999999999999,42,0.0098
dem,0.07999999999999999,43,0.0452
dem,0.07999999999999999,44,0.1341
dem,0.07999999999999999,45,0.2334
dem,0.07999999999999999,46,0.2742
dem,0.07999999999999999,47,0.1925
dem,0.07999999999999999,48,0.087
dem,0.07999999999999999,49,0.0199
dem,0.07999999999999999,50,0.0025
