r_seats,margin_diff,prob
217,0.01999999999999999,0.0799
218,0.01999999999999999,0.094
219,0.01999999999999999,0.0998
220,0.01999999999999999,0.1057
221,0.01999999999999999,0.1026
222,0.01999999999999999,0.0908
223,0.01999999999999999,0.0768
224,0.01999999999999999,0.0589
225,0.01999999999999999,0.0396
226,0.01999999999999999,0.0244
227,0.01999999999999999,0.014
228,0.01999999999999999,0.009
229,0.01999999999999999,0.0051
230,0.01999999999999999,0.0017
231,0.01999999999999999,7e-4
232,0.01999999999999999,1e-4
233,0.01999999999999999,1e-4
205,0.03,1e-4
207,0.03,1e-4
208,0.03,5e-4
209,0.03,3e-4
210,0.03,0.0013
211,0.03,0.0017
212,0.03,0.0031
213,0.03,0.0071
214,0.03,0.0141
215,0.03,0.0204
216,0.03,0.0311
217,0.03,0.0438
218,0.03,0.0613
219,0.03,0.0788
220,0.03,0.094
221,0.03,0.1052
222,0.03,0.1112
223,0.03,0.1085
224,0.03,0.0925
225,0.03,0.0734
226,0.03,0.0588
227,0.03,0.0395
228,0.03,0.0251
229,0.03,0.0139
230,0.03,0.0087
231,0.03,0.0039
232,0.03,8e-4
233,0.03,5e-4
234,0.03,2e-4
235,0.03,1e-4
210,0.04000000000000001,2e-4
211,0.04000000000000001,3e-4
212,0.04000000000000001,6e-4
213,0.04000000000000001,0.0017
214,0.04000000000000001,0.0032
215,0.04000000000000001,0.0072
216,0.04000000000000001,0.0101
217,0.04000000000000001,0.0187
218,0.04000000000000001,0.0315
219,0.04000000000000001,0.0427
220,0.04000000000000001,0.0635
221,0.04000000000000001,0.0798
222,0.04000000000000001,0.1032
223,0.04000000000000001,0.1093
224,0.04000000000000001,0.1081
225,0.04000000000000001,0.1102
226,0.04000000000000001,0.087
227,0.04000000000000001,0.0831
228,0.04000000000000001,0.0532
229,0.04000000000000001,0.0372
230,0.04000000000000001,0.023
231,0.04000000000000001,0.0117
232,0.04000000000000001,0.0077
233,0.04000000000000001,0.0045
234,0.04000000000000001,0.0017
235,0.04000000000000001,5e-4
236,0.04000000000000001,1e-4
212,0.04999999999999999,2e-4
213,0.04999999999999999,3e-4
214,0.04999999999999999,5e-4
215,0.04999999999999999,0.0012
216,0.04999999999999999,0.0032
217,0.04999999999999999,0.0056
218,0.04999999999999999,0.0109
219,0.04999999999999999,0.0181
220,0.04999999999999999,0.0291
221,0.04999999999999999,0.0455
222,0.04999999999999999,0.0597
223,0.04999999999999999,0.0841
224,0.04999999999999999,0.1007
225,0.04999999999999999,0.1115
226,0.04999999999999999,0.1195
227,0.04999999999999999,0.11
228,0.04999999999999999,0.0923
229,0.04999999999999999,0.0791
230,0.04999999999999999,0.0523
231,0.04999999999999999,0.0346
232,0.04999999999999999,0.0197
233,0.04999999999999999,0.0114
234,0.04999999999999999,0.0056
235,0.04999999999999999,0.003
236,0.04999999999999999,0.0013
237,0.04999999999999999,3e-4
238,0.04999999999999999,2e-4
239,0.04999999999999999,1e-4
212,0.06,1e-4
214,0.06,1e-4
215,0.06,4e-4
216,0.06,2e-4
217,0.06,0.0012
218,0.06,0.0028
219,0.06,0.006
220,0.06,0.0112
221,0.06,0.0154
222,0.06,0.0307
223,0.06,0.0468
224,0.06,0.0671
225,0.06,0.0845
226,0.06,0.1063
227,0.06,0.1199
228,0.06,0.1171
229,0.06,0.1089
230,0.06,0.097
231,0.06,0.0649
232,0.06,0.0496
233,0.06,0.0337
234,0.06,0.0169
235,0.06,0.0109
236,0.06,0.0037
237,0.06,0.0025
238,0.06,0.0011
239,0.06,5e-4
240,0.06,5e-4
216,0.07,1e-4
217,0.07,1e-4
219,0.07,0.0012
220,0.07,0.0022
